;Particle;Position;Coordinates;Saturated;Intensity;Fluorescence time series;Fluorescence rate;Fluorescence increase;Saturated rate;Fluorescence rate err
13;14;0;(5.691011235955056, 222.0);0;63398.95384615385;"[ -787.12307692  -571.36923077  -421.70769231   419.81538462
 14000.04102564 25902.99487179 34556.56923077 35711.24102564
 44365.0974359  45817.31282051 39331.66153846 37671.60512821
 41004.61538462 38847.77948718 39255.87179487 42182.43589744
 35761.25641026 31743.50769231 36383.24615385 37773.99487179
 31676.3025641  39347.37435897]";0.765344710714541;39301.15060966698;0.0;0.15170332613031973
14;15;0;(5.322368421052632, 455.82894736842104);0;10758.021276595748;"[ -899.4893617   -911.08510638  -866.4893617  -1323.61702128
  -384.31914894 -3182.19148936 -1518.87234043  2357.25531915
 -4580.04255319 -3737.78723404 -4189.53191489 -5006.27659574
 -3284.14893617 -2672.59574468 -2763.17021277 -3105.63829787
 -6383.17021277   840.89361702 -4946.08510638 -6090.63829787
   182.46808511 -1024.10638298]";1.2335540702534735;-2177.5001902980407;0.0;2.086897600023419
15;16;0;(5.691011235955056, 973.0);0;109001.22388059703;"[-4029.14925373 -3756.26865672 -4129.76119403 -4828.79104478
 22278.85074627 37209.10447761 35520.26865672 27476.25373134
 29344.88059701 35688.28358209 35716.37313433 45206.59701493
 39274.50746269 51826.01492537 38837.1641791  44393.76119403
 33496.47761194 41040.6119403  35032.26865672 40505.29850746
 41827.89552239 34793.89552239]";0.5153705915808318;42607.10527329784;0.0;0.15288130286419097
16;17;0;(6.301587301587301, 814.0);0;-4415.769230769227;"[ -2059.46153846  -1910.84615385  -2074.38461538  -2484.
   1045.38461538  -1955.53846154  -3647.69230769  -3645.46153846
  -5910.84615385  -6851.46153846  -9342.30769231  -9074.92307692
  -8359.76923077 -10636.07692308  -7135.07692308  -9405.76923077
 -10935.23076923  -9364.92307692  -4459.38461538 -10615.38461538
  -8876.30769231 -10102.46153846]";-23.197220056555278;-10028.422730778644;0.0;inf
17;18;0;(6.406666666666666, 574.6866666666666);0;13798.19047619047;"[1328.38095238 1017.85714286 1232.0952381  1241.52380952 3245.80952381
 5440.71428571 3353.38095238 4265.80952381 5786.80952381 4564.85714286
 7038.57142857 8381.33333333 7625.19047619 6662.14285714  610.57142857
 7688.23809524 4866.52380952 8593.33333333 6889.42857143 5827.0952381
 4444.         5951.04761905]";0.6151523887436191;2637.2346005303857;0.0;1.0433684478007819
18;19;0;(7.702127659574468, 71.0);0;25751.338461538464;"[ 2121.53846154  1802.90769231   948.33846154  1042.63076923
  4871.90769231  9684.09230769 10043.35384615  7188.23076923
 13708.4        14931.89230769 15355.95384615 16791.50769231
 13734.04615385 22227.06153846 10239.52307692 17006.67692308
 15457.30769231 17368.86153846 12890.47692308 12106.95384615
 12526.07692308 11144.52307692]";1.2406905325318507;13158.577122224342;0.0;0.4940634270602899
19;20;0;(8.0, 322.0);0;26312.333333333343;"[ -184.96296296   177.25925926  -382.33333333   399.48148148
  4146.25925926  8101.81481481 11130.40740741 11230.11111111
 -4173.74074074  7096.77777778 -9830.03703704  9232.92592593
  2554.33333333 -2810.07407407 12864.44444444  -528.55555556
  2224.07407407    82.37037037  2161.96296296 -2645.59259259
 -8609.85185185  7122.48148148]";7.28439716899237;11294.158127463019;0.0;4.4370527508273306e+17
20;21;0;(8.0, 373.0);0;45698.77058823529;"[ 1529.22352941  1352.95882353  1899.56470588  1822.32352941
  8608.15882353 15372.34117647 18026.82941176 17882.24117647
 21971.04705882 15801.72941176 12871.19411765 15149.71176471
 24105.67647059 21689.71764706 23632.08823529 17225.37647059
 18505.84117647 21888.8        17743.88235294 17105.48823529
 15812.47647059 18974.88823529]";0.7045099292025807;17283.010783912705;0.0;0.2494339673758059
21;22;0;(7.431372549019608, 444.4313725490196);0;20696.3829787234;"[ 2835.72340426  2711.63829787  2885.53191489  2817.12765957
  3600.82978723  4350.53191489  4535.89361702  9188.59574468
  7653.82978723 12795.76595745 19063.68085106  5560.0212766
 13054.42553191  6415.89361702  8151.36170213  5245.63829787
 13116.40425532  6476.78723404  5050.42553191 14286.27659574
 15232.95744681  2137.89361702]";-5039.030906706753;-3198260.967265815;0.0;9149798.648340076
22;23;0;(7.698412698412699, 602.0);0;24942.0;"[ 8596.  8618.  8423.  9807. 22624. 22195. 21498. 22931. 22544. 28254.
 32144. 28204. 28399. 34173. 31977. 36225. 33541. 31177. 32743. 30493.
 31323. 33642.]";2.300021225450914;24860.251348526865;0.0;0.49069173331696714
